"filename", "language", "PHP", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\AddressController.php", "PHP", -31, 0, 0, 0, -6, -37
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\AdminCategoryController.php", "PHP", -49, 0, 0, 0, -14, -63
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\AdminController.php", "PHP", -10, 0, 0, 0, -4, -14
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\AdminOrderController.php", "PHP", -26, 0, 0, 0, -9, -35
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\AdminProductController.php", "PHP", -106, 0, 0, 0, -21, -127
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", -28, 0, 0, -9, -11, -48
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", -28, 0, 0, -6, -7, -41
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", -16, 0, 0, -3, -6, -25
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", -15, 0, 0, -3, -4, -22
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", -41, 0, 0, -14, -8, -63
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\PasswordController.php", "PHP", -21, 0, 0, -3, -6, -30
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", -27, 0, 0, -11, -7, -45
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", -34, 0, 0, -8, -9, -51
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", -19, 0, 0, -3, -6, -28
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\CartController.php", "PHP", -68, 0, 0, 0, -18, -86
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\Controller.php", "PHP", -5, 0, 0, -1, -3, -9
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\OrderController.php", "PHP", -78, 0, 0, 0, -24, -102
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\ProductController.php", "PHP", -26, 0, 0, 0, -7, -33
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\ProfileController.php", "PHP", -38, 0, 0, -9, -14, -61
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Controllers\UserPanelController.php", "PHP", -39, 0, 0, 0, -11, -50
"c:\Users\jakub\Desktop\sklep\sklep\app\Http\Middleware\RoleAdmin.php", "PHP", -17, 0, 0, -5, -5, -27
