"filename", "language", "PHP", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-categories-edit.css", "PostCSS", 0, 9, 0, 0, 4, 13
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-categories.css", "PostCSS", 0, 20, 0, 0, 7, 27
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-order-details.css", "PostCSS", 0, 18, 0, 0, 6, 24
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-orders.css", "PostCSS", 0, 27, 0, 0, 7, 34
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-panel.css", "PostCSS", 0, 19, 0, 0, 2, 21
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-product-edit.css", "PostCSS", 0, 9, 0, 0, 2, 11
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-products-add.css", "PostCSS", 0, 11, 0, 0, 4, 15
"c:\Users\jakub\Desktop\sklep\sklep\public\css\admin-products.css", "PostCSS", 0, 35, 0, 0, 7, 42
"c:\Users\jakub\Desktop\sklep\sklep\public\css\cart.css", "PostCSS", 0, 34, 0, 0, 11, 45
"c:\Users\jakub\Desktop\sklep\sklep\public\css\content.css", "PostCSS", 0, 43, 0, 0, 10, 53
"c:\Users\jakub\Desktop\sklep\sklep\public\css\forgot-password.css", "PostCSS", 0, 4, 0, 0, 2, 6
"c:\Users\jakub\Desktop\sklep\sklep\public\css\layout.css", "PostCSS", 0, 66, 0, 0, 18, 84
"c:\Users\jakub\Desktop\sklep\sklep\public\css\order-details.css", "PostCSS", 0, 21, 0, 0, 5, 26
"c:\Users\jakub\Desktop\sklep\sklep\public\css\orders.css", "PostCSS", 0, 9, 0, 0, 1, 10
"c:\Users\jakub\Desktop\sklep\sklep\public\css\product.css", "PostCSS", 0, 36, 0, 0, 10, 46
"c:\Users\jakub\Desktop\sklep\sklep\public\css\register.css", "PostCSS", 0, 56, 0, 0, 9, 65
"c:\Users\jakub\Desktop\sklep\sklep\public\css\user-panel.css", "PostCSS", 0, 10, 0, 0, 1, 11
"c:\Users\jakub\Desktop\sklep\sklep\public\images\LOGO.svg", "XML", 0, 0, 75, 0, 1, 76
"c:\Users\jakub\Desktop\sklep\sklep\public\index.php", "PHP", 10, 0, 0, 4, 7, 21
"Total", "-", 10, 427, 75, 4, 114, 630
